et_title_product_id,et_title_parent_sku,et_title_product_name,et_title_product_category,ps_item_cover_image,ps_item_image.1,ps_item_image.2,ps_item_image.3,ps_item_image.4,ps_item_image.5,ps_item_image.6,ps_item_image.7,ps_item_image.8,ps_new_size_chart,et_title_size_chart,et_title_variation_1,et_title_option_1_for_variation_1,et_title_option_image_1_for_variation_1,et_title_option_2_for_variation_1,et_title_option_image_2_for_variation_1,et_title_option_3_for_variation_1,et_title_option_image_3_for_variation_1,et_title_option_4_for_variation_1,et_title_option_image_4_for_variation_1,et_title_reason
media_info,d25d6f670e7a661e907be9f425536aff,0,1652913874,"{""search_condition"":{""category_ids"":[100028,100095],""product_status"":[1]}}",,,,,,,,,,,,,,,,,,,,
商品ID,主商品貨號,商品名稱,商品分類,主商品圖片,商品圖片 1,商品圖片 2,商品圖片 3,商品圖片 4,商品圖片 5,商品圖片 6,商品圖片 7,商品圖片 8,新版尺寸表,圖片尺寸表,規格名稱 1,選項 1 的名稱,選項 1 的圖片,選項 2 的名稱,選項 2 的圖片,選項 3 的名稱,選項 3 的圖片,選項 4 的名稱,選項 4 的圖片,失敗原因
,,,,必填,選填,選填,選填,選填,選填,選填,選填,選填,依條件必填,依條件必填,不可編輯,不可編輯,選填,不可編輯,選填,不可編輯,選填,不可編輯,選填,
,,,,請輸入圖片的 URL，請注意：每個商品至少要有 1 張圖片才可成功上架,請輸入圖片的 URL,請輸入圖片的 URL,請輸入圖片的 URL,請輸入圖片的 URL,請輸入圖片的 URL,請輸入圖片的 URL,請輸入圖片的 URL,請輸入圖片的 URL,請輸入尺寸表模板 ID，您可以在尺寸表管理頁面找到尺寸表的 ID,您只需要選擇填寫尺寸表模板或上傳尺寸表圖片任一，如果您同時填寫兩種，系統僅會保留尺寸表模板,,,若為有規格的商品，您可以上為每個選項上傳一張圖片。請注意：若您上傳圖片為選項的層級，則需為所有的選項都上傳圖片。,,若為有規格的商品，您可以上為每個選項上傳一張圖片。請注意：若您上傳圖片為選項的層級，則需為所有的選項都上傳圖片。,,若為有規格的商品，您可以上為每個選項上傳一張圖片。請注意：若您上傳圖片為選項的層級，則需為所有的選項都上傳圖片。,,若為有規格的商品，您可以上為每個選項上傳一張圖片。請注意：若您上傳圖片為選項的層級，則需為所有的選項都上傳圖片。,
,,,,,,,,,,,,,請輸入尺寸表模板 ID,"輸入網址
最大 2 Mb，像素需介於 2048 x 2048px
格式：PDF, JPG, PNG",,,,,,,,,,
54957272443,,?手工製帽?5 Panel Cap - by Uptown Festival ’84 Jacket 翻製冶製所,100028 - Fashion Accessories/Hats & Caps,https://s-cf-tw.shopeesz.com/file/tw-11134207-820lb-mlvu0ggdc1kw4b,https://s-cf-tw.shopeesz.com/file/tw-11134207-820l8-mlvu0ggdeups30,https://s-cf-tw.shopeesz.com/file/tw-11134207-820li-mlvu0ggeckchb9,https://s-cf-tw.shopeesz.com/file/tw-11134207-820lb-mlvu0gg5zytkb0,https://s-cf-tw.shopeesz.com/file/tw-11134207-820lb-mlvu0gfw5zpeb2,https://s-cf-tw.shopeesz.com/file/tw-11134207-820lc-mlvu0gfw8sua3e,https://s-cf-tw.shopeesz.com/file/tw-11134207-820le-mlvu32x9hb7p9b,,,,,,,,,,,,,,
49308246365,,[手工製帽] 5 Panel Cap - by Adidas Mesh Track Jacket 翻製冶製所,100028 - Fashion Accessories/Hats & Caps,https://s-cf-tw.shopeesz.com/file/tw-11134207-820lc-mmmt98zm70gf96,https://s-cf-tw.shopeesz.com/file/tw-11134207-820ld-mmmt98zrcfeu16,https://s-cf-tw.shopeesz.com/file/tw-11134207-820l9-mmmt98zywxl48a,https://s-cf-tw.shopeesz.com/file/tw-11134207-820l5-mmmt98zrb0uebc,https://s-cf-tw.shopeesz.com/file/tw-11134207-820le-mmmt98zludc1a1,https://s-cf-tw.shopeesz.com/file/tw-11134207-820ld-mmmt98ztc2de95,,,,,,,,,,,,,,,
27394077604,,[預購優惠] ?Regeneration製? 手提、斜背收納包 環保袋 收納袋 斜背包 手提袋 手掌大 禮物 實用小物,100095 - Women Bags/Crossbody & Shoulder Bags,https://s-cf-tw.shopeesz.com/file/tw-11134207-81zto-mjpa8rtentok13,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztm-mjpa8rtko551a1,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztc-mjpa8rtguhhd75,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztl-mjpa8rsun8ckf7,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztj-mjpa8rtcy0p236,https://s-cf-tw.shopeesz.com/file/tw-11134207-81zto-mjpa8rtd3myr1b,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztc-mjpa8rtep8900b,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztn-mjpa8rt6thj51b,https://s-cf-tw.shopeesz.com/file/tw-11134207-81zti-mj9n87p1uscg75,,,數量,1入,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztl-mjpb5w07wu8775,2-4入,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztf-mjpb60j1uiva9f,5-10入,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztc-mjpb64rq3p4y27,預購優惠 只有這檔 請勿下單此選項,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztc-mjpa8rtep8900b,
49906699256,,[手工製帽] 5 Panel Cap — reconstructed from a The North Face bag,100028 - Fashion Accessories/Hats & Caps,https://s-cf-tw.shopeesz.com/file/tw-11134207-820li-mldcj88pkz5x9c,,,,,,,,,,,,,,,,,,,,
51600228781,,?手工製帽?5 Panel Cap -By Columbia fleece jacket  翻製冶製所,100028 - Fashion Accessories/Hats & Caps,https://s-cf-tw.shopeesz.com/file/tw-11134207-81zte-mgbvc0cwh5vyfc,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztp-mgbvc099hpfz89,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztj-mgbvc09u3dal31,https://s-cf-tw.shopeesz.com/file/tw-11134207-81zth-mgbvc0awzthm16,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztp-mgbvc0csowsp66,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztc-mgbvc0cwfrbi3d,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztl-mgbvc0e0jr4c39,https://s-cf-tw.shopeesz.com/file/tw-11134207-81ztq-mgbwpey8qtjha4,,,,尺寸,Free Size,,,,,,,,
